NIK;CARDUID;COMMIT_DATE;PROVINSI_CODE;KABKOTA_CODE;INNER;OUTER;CREATEDDATE;UPDATEDDATE
-;8004345012056D80;-;33;3306;22100001;2201100001;19/03/2022 07:25;20/04/2022 14:41
-;8004464712056D80;-;33;3306;22100001;2201100001;19/03/2022 07:25;20/04/2022 14:41
-;80041F36DAF76E80;-;33;3306;22100001;2201100001;19/03/2022 07:25;20/04/2022 14:41
-;80043F4112056D80;-;33;3306;22100001;2201100001;19/03/2022 07:25;20/04/2022 14:41
-;8004074512056D80;-;33;3306;22100001;2201100001;19/03/2022 07:25;20/04/2022 14:41
-;8004216412056D80;-;33;3306;22100001;2201100001;19/03/2022 07:25;20/04/2022 14:41
-;80044B5312056D80;-;33;3306;22100001;2201100001;19/03/2022 07:25;20/04/2022 14:41
-;8004494E12056D80;-;33;3306;22100001;2201100001;19/03/2022 07:25;20/04/2022 14:41
-;80043A4612056D80;-;33;3306;22100001;2201100001;19/03/2022 07:25;20/04/2022 14:41
-;80042E12DAF76E80;-;33;3306;22100001;2201100001;19/03/2022 07:25;20/04/2022 14:41
-;8004234812056D80;-;33;3306;22100001;2201100001;19/03/2022 07:25;20/04/2022 14:41
-;8004386912056D80;-;33;3306;22100001;2201100001;19/03/2022 07:25;20/04/2022 14:41
-;8004236712056D80;-;33;3306;22100001;2201100001;19/03/2022 07:25;20/04/2022 14:41
-;80044F6612056D80;-;33;3306;22100001;2201100001;19/03/2022 07:25;20/04/2022 14:41
-;8004366212056D80;-;33;3306;22100001;2201100001;19/03/2022 07:25;20/04/2022 14:41
-;80041511DAF76E80;-;33;3306;22100001;2201100001;19/03/2022 07:25;20/04/2022 14:41
-;8004296D12056D80;-;33;3306;22100001;2201100001;19/03/2022 07:25;20/04/2022 14:41
-;80042F0E12056D80;-;33;3306;22100001;2201100001;19/03/2022 07:25;20/04/2022 14:41
-;8004214712056D80;-;33;3306;22100001;2201100001;19/03/2022 07:25;20/04/2022 14:41
-;80044422DAF76E80;-;33;3306;22100001;2201100001;19/03/2022 07:25;20/04/2022 14:41
-;8004526412056D80;-;33;3306;22100001;2201100001;19/03/2022 07:25;20/04/2022 14:41
-;80043A18DAF76E80;-;33;3306;22100001;2201100001;19/03/2022 07:25;20/04/2022 14:41
-;80042C6012056D80;-;33;3306;22100001;2201100001;19/03/2022 07:25;20/04/2022 14:41
-;80043C5A12056D80;-;33;3306;22100001;2201100001;19/03/2022 07:25;20/04/2022 14:41
-;8004436A12056D80;-;33;3306;22100001;2201100001;19/03/2022 07:25;20/04/2022 14:41
-;8004493012056D80;-;33;3306;22100001;2201100001;19/03/2022 07:25;20/04/2022 14:41
-;8004437012056D80;-;33;3306;22100001;2201100001;19/03/2022 07:25;20/04/2022 14:41
-;8004555412056D80;-;33;3306;22100001;2201100001;19/03/2022 07:25;20/04/2022 14:41
-;8004093512056D80;-;33;3306;22100001;2201100001;19/03/2022 07:25;20/04/2022 14:41
